AgentName,Role,Episode,StepCount,Reward,AttackAttempts,AttackSuccesses,DefendAttempts,DefendSuccesses,DodgeAttempts,EndTime,Duration,IsDead
Player 1,Defender,1454,227,45.13,8,0,23,0,93,85.94,4.54,False
Player 1,Defender,1458,104,15.10,9,0,11,0,36,86.10,2.08,False
Player 1,Defender,1462,422,95.27,23,0,49,0,86,86.18,8.44,False
Player 1,Defender,1466,170,33.14,7,0,17,0,64,86.28,3.40,False
Player 1,Defender,1470,149,28.37,5,0,4,0,71,86.30,2.98,False
Player 1,Defender,1474,286,65.39,11,0,26,0,61,86.34,5.72,False
Player 1,Defender,1478,415,88.22,25,0,56,0,75,86.34,8.30,False
Player 1,Defender,1482,163,29.63,8,0,11,0,63,86.36,3.26,False
Player 1,Defender,1486,371,79.45,18,0,51,0,53,86.48,7.42,False
Player 1,Defender,1490,1056,245.70,82,1,135,0,18,86.60,21.12,False
Player 1,Defender,1494,445,107.69,11,0,57,0,57,86.80,8.90,False
Player 1,Defender,1498,137,21.87,9,0,15,0,50,87.08,2.74,False
Player 1,Defender,1502,536,139.47,22,0,36,0,108,87.18,10.72,False
Player 1,Defender,1506,308,64.80,19,0,34,0,63,87.52,6.16,False
Player 1,Defender,1510,440,103.38,23,0,50,0,35,88.12,8.80,False
Player 1,Defender,1514,188,35.69,5,0,16,0,31,88.22,3.76,False
Player 1,Defender,1518,422,110.04,15,0,33,0,27,88.28,8.44,False
Player 1,Defender,1522,159,32.26,2,0,17,0,3,89.04,3.18,False
Player 1,Defender,1526,795,183.92,60,1,86,0,46,89.36,15.90,False
Player 1,Defender,1530,515,116.77,31,0,68,0,43,89.56,10.30,False
Player 1,Defender,1534,301,70.14,6,0,32,0,59,89.62,6.02,False
Player 1,Defender,1538,285,66.12,8,0,32,0,38,89.70,5.70,False
